Year,Area,Total Bathrooms,Bedrooms,Curr List Price,Number of Offers,Selling Price
2015,10,2,2,3200000,2,"3,400,000"
2015,10,3,3,3795000,2,"3,783,000"
2015,10,4,3,2675000,2,"2,675,000"
2015,10,3,4,2895000,2,"3,200,000"
2015,10,4,4,2795000,2,"3,100,000"
2015,10,4,4,3350000,2,"3,350,000"
2015,10,4,4,4995000,2,"4,871,500"
2015,10,4,4,2995000,2,"2,800,000"
2015,10,4,4,4295000,2,"4,300,000"
2015,10,6,5,4975000,2,"5,100,000"
2015,10,3,3,2750000,3,"2,300,000"
2015,10,4,5,2949000,3,"2,949,000"
2015,20,1,2,899000,2,"950,000"
2015,20,2,2,699900,2,"540,000"
2015,20,3,4,2450000,2,"2,450,000"
2015,20,1,1,850000,3,"1,050,000"
2015,20,2,2,1050000,3,"1,100,000"
2015,20,1,2,704000,4,"705,000"
2015,20,2,4,2249900,4,"2,525,000"
2015,30,1,2,1100000,2,"1,125,000"
2015,30,2,2,899000,2,"940,000"
2015,30,2,3,785000,2,"760,000"
2015,30,2,3,1099000,2,"1,133,000"
2015,30,2,3,899000,2,"860,000"
2015,30,2,3,995000,2,"1,106,000"
2015,30,2,3,1099000,2,"1,100,000"
2015,30,2,3,1075000,2,"1,110,000"
2015,30,2,3,995000,2,"1,100,000"
2015,30,2,3,1395000,2,"1,610,000"
2015,30,2,3,1150000,2,"1,203,816"
2015,30,2,3,995000,2,"1,090,000"
2015,30,3,3,1449000,2,"1,600,000"
2015,30,3,3,899000,2,"920,000"
2015,30,2,4,1495000,2,"1,475,000"
2015,30,2,4,1075000,2,"1,100,000"
2015,30,3,4,1645000,2,"1,636,000"
2015,30,3,4,999000,2,"1,275,000"
2015,30,3,4,1595000,2,"1,575,000"
2015,30,4,4,1465000,2,"1,400,000"
2015,30,3,5,1540000,2,"1,510,000"
2015,30,4,5,1795000,2,"1,925,000"
2015,30,4,5,1895000,2,"2,000,000"
2015,30,7,5,2850000,2,"2,700,000"
2015,30,2,2,999000,3,"960,000"
2015,30,2,2,1195000,3,"1,325,000"
2015,30,2,3,1229000,3,"1,276,000"
2015,30,2,3,999000,3,"1,075,000"
2015,30,2,3,875000,3,"935,000"
2015,30,2,3,1350000,3,"1,300,000"
2015,30,2,3,1390000,3,"1,390,000"
2015,30,2,4,1099000,3,"1,240,000"
2015,30,3,4,1685000,3,"1,901,000"
2015,30,3,4,1850000,3,"1,825,000"
2015,30,4,5,2150000,3,"2,000,000"
2015,30,4,6,1925000,3,"2,232,000"
2015,30,2,3,799000,4,"750,000"
2015,30,2,3,1149000,4,"1,325,000"
